"","X","title","year","length","budget","rating","votes","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"14579",14579,"Donnie Darko",2001,133,4500000,8.3,51961,0,0,0,1,0,0,0
"14585",14585,"Donovan's Reef",1963,109,2686585,6.5,1062,1,0,1,0,0,1,0
"14609",14609,"Doors, The",1991,140,38000000,6.7,10363,0,0,0,1,0,0,0
"14696",14696,"Double Impact",1991,109,16000000,4.5,2749,1,0,0,0,0,0,0
"14697",14697,"Double Indemnity",1944,110,927262,8.5,11592,0,0,0,1,0,0,0
"14699",14699,"Double Jeopardy",1999,105,40000000,5.9,13587,0,0,0,1,0,0,0
"14709",14709,"Double Take",2001,91,24000000,4.8,1503,1,0,1,0,0,0,0
"14780",14780,"Down by Law",1986,107,1100000,7.6,4449,0,0,1,1,0,0,0
"14785",14785,"Down to Earth",2001,87,30000000,5.1,3720,0,0,1,0,0,1,0
"14788",14788,"Down to You",2000,91,9000000,4.7,3232,0,0,1,1,0,1,0
"14809",14809,"Dr T and the Women",2000,122,12000000,4.8,4776,0,0,1,1,0,1,0
"14821",14821,"Dr. Dolittle 2",2001,87,72000000,5.1,4920,0,0,1,0,0,0,0
"14831",14831,"Dr. Jekyll and Mr. Hyde",1931,96,1140000,7.6,1018,0,0,0,1,0,0,0
"14850",14850,"Dr. No",1962,110,1100000,7.2,11864,1,0,0,0,0,0,0
"14858",14858,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,93,1800000,8.7,63471,0,0,1,0,0,0,0
"14866",14866,"Dracula",1992,128,40000000,7.1,19972,0,0,0,1,0,1,0
"14868",14868,"Dracula 2000",2000,99,28000000,4.9,5364,0,0,0,0,0,0,0
"14907",14907,"Dragon: The Bruce Lee Story",1993,119,14000000,6.7,3244,1,0,0,1,0,0,0
"14912",14912,"Dragonfly",2002,104,60000000,5.8,5431,0,0,0,1,0,0,0
"14915",14915,"Dragonslayer",1981,109,18000000,6.4,1965,1,0,0,0,0,0,0
"14967",14967,"Dreamcatcher",2003,134,68000000,5.2,10403,0,0,0,0,0,0,0
"15006",15006,"Dressed to Kill",1980,104,6500000,6.9,3481,0,0,0,0,0,0,0
"15032",15032,"Drive",1997,117,3500000,6.4,1086,1,0,1,0,0,0,0
"15035",15035,"Drive Me Crazy",1999,91,8000000,5.1,2934,0,0,1,1,0,1,0
"15045",15045,"Driven",2001,116,72000000,4.4,7129,1,0,0,1,0,0,0
"15052",15052,"Driving Miss Daisy",1989,99,7500000,7.4,8656,0,0,1,1,0,0,0
"15068",15068,"Drop Zone",1994,101,45000000,5.5,3104,1,0,0,0,0,0,0
"15074",15074,"Drowning Mona",2000,95,16000000,5.4,3454,0,0,1,0,0,0,0
"15089",15089,"Drugstore Cowboy",1989,100,2500000,7.4,4999,0,0,0,1,0,0,0
"15094",15094,"Drumline",2002,118,20000000,5.3,7368,0,0,1,1,0,1,0
"15170",15170,"Dude, Where's My Car?",2000,83,13000000,4.6,13330,0,0,1,0,0,0,0
"15172",15172,"Dudley Do-Right",1999,77,22000000,3.6,1790,0,0,1,0,0,0,0
"15212",15212,"Duellists, The",1977,95,900000,7.4,1929,1,0,0,1,0,0,0
"15216",15216,"Duets",2000,112,15000000,5.8,2414,0,0,1,1,0,0,0
"15235",15235,"Dumb & Dumber",1994,101,16000000,6.6,27713,0,0,1,0,0,0,0
"15239",15239,"Dumb and Dumberer: When Harry Met Lloyd",2003,85,19000000,3.3,4689,0,0,1,0,0,0,0
"15242",15242,"Dumbo",1941,64,950000,7.4,6828,0,1,0,1,0,0,0
"15249",15249,"Dune",1984,190,45000000,6.3,16903,1,0,0,0,0,0,0
"15258",15258,"Dungeons & Dragons",2000,107,35000000,4,7435,1,0,0,0,0,0,0
"15267",15267,"Duplex",2003,89,40000000,5.7,4334,0,0,1,0,0,0,0
"15367",15367,"E.T. the Extra-Terrestrial",1982,120,10500000,7.8,44175,0,0,0,1,0,0,0
"15377",15377,"Eagle Has Landed, The",1976,131,6000000,6.7,2001,0,0,0,1,0,0,0
"15402",15402,"Earth Girls Are Easy",1988,100,10000000,5,3952,0,0,1,0,0,0,0
"15409",15409,"Earthquake",1974,140,7000000,5.2,2106,1,0,0,1,0,0,0
"15432",15432,"Easter Parade",1948,107,2503654,7.4,1093,0,0,0,0,0,1,0
"15449",15449,"Easy Rider",1969,94,340000,7.2,10230,1,0,0,1,0,0,0
"15479",15479,"Eating Raoul",1982,87,350000,6.4,1351,0,0,1,0,0,0,0
"15520",15520,"Ed Wood",1994,127,18000000,8,22612,0,0,1,1,0,0,0
"15524",15524,"Eddie",1996,100,30000000,4.9,1348,0,0,1,0,0,0,0
"15563",15563,"Edtv",1999,122,60000000,6.2,10085,0,0,1,0,0,0,0
"15573",15573,"Edward Scissorhands",1990,105,20000000,7.7,27017,0,0,0,1,0,1,0
"15576",15576,"Eegah",1962,90,15000,1.9,1314,0,0,0,0,0,0,0
"15623",15623,"Eight Legged Freaks",2002,99,30000000,5.5,6362,1,0,1,0,0,0,0
"15624",15624,"Eight Men Out",1988,119,6000000,7.3,3689,0,0,0,1,0,0,0
"15671",15671,"El Cid",1961,182,6250000,7.1,1458,0,0,0,1,0,1,0
"15689",15689,"Election",1999,103,8500000,7.4,17521,0,0,1,0,0,0,0
"15706",15706,"Elektra",2005,96,43000000,4.9,5120,1,0,0,0,0,0,0
"15711",15711,"Elephant",2003,81,3000000,7.3,9203,0,0,0,1,0,0,0
"15716",15716,"Elephant Man, The",1980,124,5000000,8.2,16422,0,0,0,1,0,0,0
"15727",15727,"Elf",2003,95,33000000,7,10165,0,0,1,0,0,0,0
"15744",15744,"Elizabeth",1998,124,25000000,7.6,14733,0,0,0,1,0,0,0
"15747",15747,"Ella Enchanted",2004,96,35000000,6.5,2502,0,0,1,0,0,1,0
"15768",15768,"Elmer Gantry",1960,146,3000000,7.8,1771,0,0,0,1,0,0,0
"15783",15783,"Elvira, Mistress of the Dark",1988,96,20000000,5.3,1238,0,0,1,0,0,0,0
"15815",15815,"Embrace of the Vampire",1994,93,800000,4.2,1551,0,0,0,0,0,0,0
"15846",15846,"Emma",1996,121,6000000,6.9,6431,0,0,1,0,0,1,0
"15882",15882,"Emperor's Club, The",2002,109,12500000,6.7,3056,0,0,0,1,0,0,0
"15884",15884,"Emperor's New Groove, The",2000,78,100000000,7.4,8532,0,1,1,0,0,0,0
"15887",15887,"Empire",2002,90,3500000,6,1718,1,0,0,1,0,0,0
"15896",15896,"Empire of the Sun",1987,154,38000000,7.5,9963,0,0,0,1,0,0,0
"15986",15986,"End of Days",1999,121,83000000,5.3,18237,1,0,0,0,0,0,0
"15989",15989,"End of Violence, The",1997,122,5000000,5.4,1575,0,0,0,1,0,0,0
"15991",15991,"End of the Affair, The",1999,102,23000000,7,4808,0,0,0,1,0,1,0
"16034",16034,"Enemy at the Gates",2001,131,70000000,7.3,19169,1,0,0,1,0,1,0
"16038",16038,"Enemy of the State",1998,131,90000000,7.1,23263,1,0,0,1,0,0,0
"16081",16081,"English Patient, The",1996,160,27000000,7.1,25210,0,0,0,1,0,1,0
"16101",16101,"Enough",2002,115,38000000,4.9,4339,0,0,0,1,0,0,0
"16122",16122,"Enter the Dragon",1973,99,850000,7.4,8078,1,0,0,0,0,0,0
"16135",16135,"Entrapment",1999,113,66000000,6.1,18543,0,0,1,0,0,1,0
"16158",16158,"Envy",2004,99,40000000,4.3,3417,0,0,1,0,0,0,0
"16182",16182,"Equilibrium",2002,107,20000000,7.6,17579,1,0,0,0,0,0,0
"16194",16194,"Eraser",1996,115,100000000,5.8,14641,1,0,0,1,0,0,0
"16195",16195,"Eraserhead",1977,89,10000,7.1,7207,0,0,0,1,0,0,0
"16216",16216,"Erin Brockovich",2000,130,51000000,7.3,24301,0,0,0,1,0,0,0
"16227",16227,"Ernest Goes to Camp",1987,92,3000000,4.4,1562,0,0,1,0,0,0,0
"16231",16231,"Ernest Saves Christmas",1988,95,6000000,4.6,1125,0,0,1,0,0,0,0
"16322",16322,"Escape from L.A.",1996,101,50000000,4.8,7955,1,0,0,0,0,0,0
"16323",16323,"Escape from New York",1981,99,6000000,6.8,9924,1,0,0,0,0,0,0
"16327",16327,"Escape from the Planet of the Apes",1971,98,2500000,5.8,2951,1,0,0,1,0,0,0
"16373",16373,"Espinazo del diablo, El",2001,108,4500000,7.4,3474,0,0,0,1,0,0,0
"16424",16424,"Eternal Sunshine of the Spotless Mind",2004,108,20000000,8.6,46240,0,0,1,1,0,1,0
"16454",16454,"EuroTrip",2004,90,25000000,6.1,8390,0,0,1,0,0,0,0
"16483",16483,"Eve's Bayou",1997,109,5000000,7.2,2302,0,0,0,1,0,0,0
"16485",16485,"Evelyn",2002,94,10000000,7.1,1163,0,0,0,1,0,0,0
"16488",16488,"Even Cowgirls Get the Blues",1993,99,8000000,4,1609,0,0,1,1,0,1,0
"16495",16495,"Event Horizon",1997,96,70000000,5.7,15510,0,0,0,0,0,0,0
"16500",16500,"Ever After",1998,121,26000000,7,10250,0,0,1,1,0,1,0
"16543",16543,"Everyone Says I Love You",1996,101,20000000,6.9,7314,0,0,1,0,0,1,0
"16554",16554,"Everything You Always Wanted to Know About Sex * But Were Afraid to Ask",1972,87,2000000,6.7,4671,0,0,1,0,0,0,0
"16574",16574,"Evil Dead II",1987,85,3500000,7.6,15743,1,0,1,0,0,0,0
"16575",16575,"Evil Dead, The",1981,86,350000,7.4,14407,0,0,0,0,0,0,0
"16600",16600,"Evita",1996,134,55000000,6.2,8371,0,0,0,1,0,0,0
"16603",16603,"Evolution",2001,101,80000000,5.8,14232,0,0,1,0,0,0,0
"16643",16643,"Executive Decision",1996,134,55000000,6.3,7653,1,0,0,0,0,0,0
"16665",16665,"Exit Wounds",2001,101,33000000,5.3,5370,1,0,0,0,0,0,0
"16672",16672,"Exodus",1960,208,4000000,6.8,1161,1,0,0,1,0,0,0
"16676",16676,"Exorcist II: The Heretic",1977,118,14000000,3.5,3009,0,0,0,1,0,0,0
"16678",16678,"Exorcist, The",1973,132,1000000,7.9,34162,0,0,0,1,0,0,0
"16679",16679,"Exorcist: The Beginning",2004,114,30000000,5,4130,1,0,0,0,0,0,0
"16751",16751,"Extreme Measures",1996,118,38000000,5.9,3417,0,0,0,0,0,0,0
"16752",16752,"Extreme Ops",2002,94,40000000,4,1337,1,0,0,0,0,0,0
"16758",16758,"Eye for an Eye",1996,101,20000000,5.6,1843,0,0,0,1,0,0,0
"16762",16762,"Eye of the Beholder",1999,109,15000000,4.5,5549,0,0,0,0,0,0,0
"16777",16777,"Eyes Wide Shut",1999,159,65000000,7,37868,0,0,0,1,0,0,0
"16780",16780,"Eyes of Laura Mars",1978,104,7000000,5.8,1174,0,0,0,0,0,0,0
"16860",16860,"Face/Off",1997,133,80000000,7.1,37506,1,0,0,1,0,0,0
"16880",16880,"Faculty, The",1998,104,15000000,6.1,13143,0,0,0,0,0,0,0
"16895",16895,"Fahrenheit 9/11",2004,122,6000000,7.9,34666,0,0,0,0,1,0,0
"16903",16903,"Fair Game",1995,91,50000000,3.9,2579,1,0,1,1,0,0,0
"17035",17035,"Family Man, The",2000,125,60000000,6.5,11220,0,0,1,1,0,1,0
"17038",17038,"Family Plot",1976,121,3000000,6.6,2212,0,0,1,0,0,0,0
"17061",17061,"Fan, The",1996,114,55000000,5.4,6920,0,0,0,0,0,0,0
"17094",17094,"Fantasia",1940,80,2280000,7.8,14925,0,1,0,0,0,0,0
"17098",17098,"Fantasia/2000",1999,75,80000000,7.4,5353,0,1,0,0,0,0,0
"17142",17142,"Far and Away",1992,140,30000000,6.2,8556,0,0,0,1,0,1,0
"17144",17144,"Far from Heaven",2002,107,13500000,7.7,9167,0,0,0,1,0,1,0
"17174",17174,"Fargo",1996,98,7000000,8.2,65597,0,0,0,1,0,0,0
"17238",17238,"Fast Times at Ridgemont High",1982,90,4500000,7.1,10361,0,0,1,0,0,0,0
"17247",17247,"Fast and the Furious, The",2001,106,38000000,5.7,21428,1,0,0,0,0,0,0
"17253",17253,"Faster, Pussycat! Kill! Kill!",1965,83,45000,6.5,1242,1,0,1,1,0,0,0
"17271",17271,"Fatal Attraction",1987,123,14000000,6.7,8541,0,0,0,1,0,0,0
"17315",17315,"Father of the Bride Part II",1995,106,30000000,5.6,4089,0,0,1,0,0,0,0
"17323",17323,"Fathers' Day",1997,98,85000000,4.7,2714,0,0,1,0,0,0,0
"17377",17377,"Fear and Loathing in Las Vegas",1998,118,18500000,7.2,21484,0,0,1,1,0,0,0
"17387",17387,"FearDotCom",2002,101,42000000,3.2,5126,0,0,0,0,0,0,0
"17392",17392,"Fearless Vampire Killers, The",1967,108,2000000,7,3452,0,0,1,0,0,0,0
"17480",17480,"Femme Fatale",2002,114,35000000,6.4,6083,0,0,0,0,0,0,0
"17551",17551,"Festen",1998,105,1300000,8.2,11983,0,0,0,1,0,0,0
"17585",17585,"Fever Pitch",2005,98,39690000,6.6,1712,0,0,1,0,0,1,0
"17589",17589,"Few Good Men, A",1992,138,33000000,7.5,25237,0,0,0,1,0,0,0
"17602",17602,"Fiddler on the Roof",1971,181,9000000,7.6,5893,0,0,0,1,0,0,0
"17644",17644,"Fifth Element, The",1997,126,90000000,7.1,55398,1,0,0,1,0,0,0
"17657",17657,"Fight Club",1999,139,63000000,8.5,112092,0,0,0,1,0,0,0
"17800",17800,"Final Destination",2000,98,23000000,6.6,16504,0,0,0,0,0,0,0
"17801",17801,"Final Destination 2",2003,90,26000000,6.3,8481,0,0,0,0,0,0,0
"17807",17807,"Final Fantasy: The Spirits Within",2001,106,137000000,6.5,16451,1,1,0,0,0,0,0
"17836",17836,"Finding Forrester",2000,136,43000000,7.3,13439,0,0,0,1,0,0,0
"17843",17843,"Finding Nemo",2003,100,94000000,8.3,41846,0,1,1,1,0,0,0
"17920",17920,"Firefox",1982,136,21000000,5.5,3401,1,0,0,0,0,0,0
"17934",17934,"Firestarter",1984,101,15000000,5.6,2839,0,0,0,0,0,0,0
"17941",17941,"Firm, The",1993,154,42000000,6.6,14708,0,0,0,1,0,0,0
"17950",17950,"First Blood",1982,97,14000000,6.8,11956,1,0,0,1,0,0,0
"17958",17958,"First Great Train Robbery, The",1979,110,6000000,6.9,1758,1,0,1,1,0,0,0
"17962",17962,"First Knight",1995,134,75000000,5.6,8708,0,0,0,1,0,1,0
"17987",17987,"First Wives Club, The",1996,103,26000000,5.6,6434,0,0,1,0,0,0,0
"17999",17999,"Fish Called Wanda, A",1988,108,7500000,7.7,25035,0,0,1,0,0,0,0
"18011",18011,"Fisher King, The",1991,137,24000000,7.4,11952,0,0,1,1,0,1,0
"18134",18134,"Flash Gordon",1980,111,35000000,5.7,5626,1,0,0,0,0,0,0
"18158",18158,"Flawless",1999,112,27000000,6.1,3287,0,0,1,1,0,0,0
"18172",18172,"Flesh & Blood",1985,117,6500000,6.3,2047,1,0,0,1,0,0,0
"18238",18238,"Flight of the Phoenix",2004,113,45000000,6,2732,1,0,0,0,0,0,0
"18248",18248,"Flintstones in Viva Rock Vegas, The",2000,90,58000000,3.7,1712,0,0,1,0,0,0,0
"18249",18249,"Flintstones, The",1994,91,45000000,4.5,8704,0,0,1,0,0,0,0
"18261",18261,"Flirting with Disaster",1996,92,7000000,7,3986,0,0,1,0,0,0,0
"18339",18339,"Fly, The",1958,94,500000,6.8,2052,0,0,0,0,0,0,0
"18340",18340,"Fly, The",1986,92,15000000,7,9914,0,0,0,1,0,0,0
"18389",18389,"Fog, The",1980,89,1000000,6.5,4618,0,0,0,0,0,0,0
"18417",18417,"Following",1998,69,6000,7.6,3197,0,0,0,0,0,0,0
"18498",18498,"For Love of the Game",1999,137,50000000,6.1,5782,0,0,0,1,0,1,0
"18517",18517,"For Whom the Bell Tolls",1943,168,3000000,7.2,1010,0,0,0,1,0,1,0
"18520",18520,"For Your Eyes Only",1981,127,28000000,6.7,8061,1,0,0,0,0,0,0
"18552",18552,"Forbidden Planet",1956,98,1900000,7.7,6736,0,0,0,1,0,0,0
"18634",18634,"Forgotten, The",2004,94,42000000,5.8,8234,0,0,0,1,0,0,0
"18642",18642,"Forrest Gump",1994,142,55000000,8.2,89722,0,0,1,1,0,0,0
"18644",18644,"Forsaken, The",2001,90,5000000,5.1,1928,0,0,0,0,0,0,0
"18647",18647,"Fort Apache",1948,125,2500000,7.6,1865,0,0,0,0,0,0,0
"18662",18662,"Fortress",1993,95,12000000,5.3,2577,1,0,0,0,0,0,0
"18663",18663,"Fortress 2",1999,92,11000000,4.2,1027,1,0,0,0,0,0,0
"18669",18669,"Fortune Cookie, The",1966,125,3705000,7.4,1504,0,0,1,1,0,1,0
"18714",18714,"Four Feathers, The",2002,125,80000000,6.2,4400,0,0,0,1,0,0,0
"18735",18735,"Four Rooms",1995,98,4000000,6,10675,0,0,1,1,0,0,0
"18742",18742,"Four Weddings and a Funeral",1994,117,6000000,7.2,17820,0,0,1,1,0,1,0
"18796",18796,"Frailty",2001,100,11000000,7.4,10551,0,0,0,1,0,0,0
"18850",18850,"Frankenstein",1931,71,291000,7.9,6045,0,0,0,1,0,0,0
"18851",18851,"Frankenstein",1994,123,45000000,6,6941,0,0,0,1,0,0,0
"18919",18919,"Freaks",1932,64,310607,7.7,4134,0,0,0,1,0,0,0
"18923",18923,"Freaky Friday",2003,97,26000000,6.9,8052,0,0,1,1,0,0,0
"18930",18930,"Freddy Got Fingered",2001,87,15000000,3.5,9115,0,0,1,0,0,0,0
"18932",18932,"Freddy Vs. Jason",2003,97,25000000,6.1,11109,1,0,0,0,0,0,0
"18935",18935,"Freddy's Dead: The Final Nightmare",1991,93,5000000,4.3,3618,0,0,1,0,0,0,0
"18973",18973,"Freeway",1996,102,3000000,6.5,4961,0,0,0,1,0,0,0
"18989",18989,"French Connection, The",1971,104,1800000,7.8,11783,1,0,0,1,0,0,0
"19007",19007,"Frenzy",1972,116,3500000,7.3,3698,0,0,0,0,0,0,0
"19008",19008,"Frequency",2000,118,31000000,7.4,15317,0,0,0,1,0,0,0
"19029",19029,"Frida",2002,123,12000000,7.5,8614,0,0,0,1,0,0,0
"19033",19033,"Friday",1995,91,3500000,6.7,7020,0,0,1,1,0,0,0
"19035",19035,"Friday After Next",2002,85,20000000,4.9,1659,0,0,1,0,0,0,0
"19039",19039,"Friday Night Lights",2004,117,30000000,7,4290,0,0,0,1,0,0,0
"19041",19041,"Friday the 13th",1980,95,700000,5.8,7475,0,0,0,0,0,0,0
"19042",19042,"Friday the 13th Part 2",1981,87,1000000,4.9,3794,1,0,0,0,0,0,0
"19043",19043,"Friday the 13th Part 3: 3D",1982,91,4000000,4.3,3239,0,0,0,0,0,0,0
"19045",19045,"Friday the 13th Part VII: The New Blood",1988,90,3500000,4.1,2625,0,0,0,1,0,0,0
"19046",19046,"Friday the 13th Part VIII: Jason Takes Manhattan",1989,100,5000000,3.6,3248,0,0,0,0,0,0,0
"19048",19048,"Friday the 13th: The Final Chapter",1984,90,1800000,4.6,2975,0,0,0,0,0,0,0
"19061",19061,"Friendly Persuasion",1956,137,3000000,7.5,1020,0,0,0,1,0,0,0
"19080",19080,"Fright Night",1985,106,9000000,6.5,3601,0,0,1,0,0,0,0
"19102",19102,"Fritz the Cat",1972,80,1000000,5.8,1109,1,1,1,1,0,0,0
"19122",19122,"From Dusk Till Dawn",1996,108,20000000,6.8,28473,1,0,1,0,0,0,0
"19127",19127,"From Hell",2001,122,35000000,6.8,17292,0,0,0,0,0,0,0
"19132",19132,"From Here to Eternity",1953,118,1650000,7.9,5995,0,0,0,1,0,1,0
"19135",19135,"From Justin to Kelly",2003,90,12000000,1.7,6517,0,0,1,0,0,1,0
"19142",19142,"From Russia with Love",1963,115,2000000,7.3,10291,1,0,0,1,0,0,0
"19162",19162,"Front Page, The",1974,105,4000000,7,1296,0,0,1,0,0,0,0
"19243",19243,"Fugitive, The",1993,130,44000000,7.7,48292,1,0,0,1,0,0,0
"19268",19268,"Full Frontal",2002,101,2000000,5,3056,0,0,1,1,0,1,0
"19270",19270,"Full Metal Jacket",1987,116,30000000,8.2,47757,0,0,0,1,0,0,0
"19271",19271,"Full Monty, The",1997,91,3500000,7.2,22115,0,0,1,0,0,0,0
"19303",19303,"Funny Face",1957,103,3000000,7.1,1673,0,0,1,0,0,1,0
"19307",19307,"Funny Girl",1968,155,14100000,7,1782,0,0,1,1,0,1,0
"19347",19347,"Fury, The",1978,118,5500000,6,1524,0,0,0,0,0,0,0
"19391",19391,"G.I. Jane",1997,124,50000000,5.5,9116,1,0,0,1,0,0,0
"19395",19395,"G.O.R.A.",2004,127,5000000,7.2,1561,0,0,1,0,0,0,0
"19463",19463,"Galaxy Quest",1999,102,45000000,7.2,22341,0,0,1,0,0,0,0
"19520",19520,"Game, The",1997,128,50000000,7.6,28099,0,0,0,0,0,0,0
"19550",19550,"Gandhi",1982,188,22000000,8,15879,0,0,0,1,0,0,0
"19575",19575,"Gangs of New York",2002,166,97000000,7.3,34808,0,0,0,1,0,0,0
"19621",19621,"Garden State",2004,109,2500000,8.1,23814,0,0,1,1,0,1,0
"19635",19635,"Garfield",2004,80,50000000,4.8,4775,0,1,1,0,0,0,0
"19690",19690,"Gathering, The",2002,83,18000000,5.8,1033,0,0,0,0,0,0,0
"19695",19695,"Gattaca",1997,101,36000000,7.6,26071,0,0,0,1,0,0,0
"19713",19713,"Gauntlet, The",1977,109,5500000,6,2201,1,0,0,1,0,0,0
"19809",19809,"General's Daughter, The",1999,116,60000000,6.1,11128,0,0,0,1,0,0,0
"19866",19866,"Gentleman's Agreement",1947,118,2000000,7.4,1173,0,0,0,1,0,1,0
"19902",19902,"George of the Jungle",1997,92,55000000,5.5,6430,0,0,1,0,0,0,0
"19928",19928,"Geronimo: An American Legend",1993,115,50000000,6.2,1233,0,0,0,1,0,0,0
"19930",19930,"Gerry",2002,105,3500000,6,1944,0,0,0,1,0,0,0
"19952",19952,"Get Carter",2000,104,40000000,4.7,4927,1,0,0,1,0,0,0
"19959",19959,"Get Over It",2001,87,10000000,5.7,3561,0,0,1,0,0,1,0
"19963",19963,"Get Shorty",1995,105,30250000,7,14825,0,0,1,1,0,0,0
"19970",19970,"Get on the Bus",1996,120,2400000,6.6,1142,0,0,0,1,0,0,0
"19974",19974,"Getaway, The",1972,122,3352254,7.3,2843,1,0,0,1,0,0,0
"20002",20002,"Gettysburg",1993,259,25000000,7.5,5191,0,0,0,1,0,0,0
"20024",20024,"Ghost",1990,128,22000000,6.8,19005,0,0,0,1,0,1,0
"20027",20027,"Ghost Busters",1984,107,30000000,7.5,29762,0,0,1,0,0,0,0
"20048",20048,"Ghost Ship",2002,91,35000000,5.3,8399,0,0,0,0,0,0,0
"20060",20060,"Ghost World",2000,111,7000000,7.8,17976,0,0,1,1,0,0,0
"20063",20063,"Ghost and the Darkness, The",1996,109,55000000,6.4,8360,1,0,0,1,0,0,0
"20094",20094,"Ghosts of Mars",2001,98,28000000,4.6,6368,1,0,0,0,0,0,0
"20095",20095,"Ghosts of Mississippi",1996,130,36000000,6.4,2268,0,0,0,1,0,0,0
"20112",20112,"Giant",1956,201,5400000,7.5,4210,0,0,0,1,0,0,0
"20139",20139,"Gift, The",2000,111,10000000,6.8,12440,0,0,0,1,0,0,0
"20149",20149,"Gigi",1958,119,3319355,7,1956,0,0,1,0,0,1,0
"20150",20150,"Gigli",2003,121,54000000,2.3,11285,0,0,1,0,0,1,0
"20175",20175,"Ginger Snaps",2000,110,5000000,6.8,3968,0,0,1,0,0,0,0
"20177",20177,"Ginger Snaps: Unleashed",2004,94,3500000,6.6,1118,0,0,0,0,0,0,0
"20180",20180,"Gingerbread Man, The",1998,114,25000000,5.7,2806,0,0,0,0,0,0,0
"20221",20221,"Girl 6",1996,108,12000000,5,1453,0,0,1,1,0,0,0
"20302",20302,"Girl, Interrupted",1999,127,24000000,7,16362,0,0,0,1,0,0,0
"20391",20391,"Gladiator",2000,155,103000000,8,92495,1,0,0,1,0,0,0
"20445",20445,"Glitter",2001,104,22000000,2.1,5209,0,0,0,1,0,1,0
"20455",20455,"Gloria",1999,108,30000000,4.9,1144,0,0,0,1,0,0,0
"20459",20459,"Glory",1989,122,18000000,8.1,21861,1,0,0,1,0,0,0
"20477",20477,"Go",1999,103,6500000,7.4,20663,0,0,1,0,0,0,0
"20545",20545,"Godfather, The",1972,175,6000000,9.1,122755,0,0,0,1,0,0,0
"20546",20546,"Godfather: Part II, The",1974,200,13000000,8.9,71363,0,0,0,1,0,0,0
"20547",20547,"Godfather: Part III, The",1990,169,54000000,7.3,22385,0,0,0,1,0,0,0
"20553",20553,"Gods and Generals",2003,209,56000000,5.7,3002,1,0,0,1,0,0,0
"20554",20554,"Gods and Monsters",1998,105,3500000,7.6,9020,0,0,0,1,0,0,0
"20564",20564,"Godzilla",1998,133,125000000,4.4,22695,1,0,0,0,0,0,0
"20609",20609,"Gojira",1954,98,1000000,6.9,1106,1,0,0,1,0,0,0
"20614",20614,"Gojira ni-sen mireniamu",1999,99,1000000,5.6,1150,1,0,0,0,0,0,0
"20649",20649,"Gold Rush, The",1925,82,923000,8.3,6429,0,0,1,0,0,0,0
"20659",20659,"Golden Bowl, The",2000,130,15000000,6,1145,0,0,0,1,0,0,0
"20691",20691,"GoldenEye",1995,130,80000000,6.8,22991,1,0,0,0,0,0,0
"20698",20698,"Goldfinger",1964,112,3000000,7.8,19754,1,0,0,0,0,0,0
"20743",20743,"Gone Fishin'",1997,94,53000000,3.8,1884,0,0,1,0,0,0,0
"20746",20746,"Gone in Sixty Seconds",2000,117,90000000,5.7,25400,1,0,0,0,0,0,0
"20750",20750,"Gone with the Wind",1939,233,3900000,8.1,28836,0,0,0,1,0,1,0
"20754",20754,"Gong fu",2004,99,20000000,7.9,5299,1,0,1,0,0,0,0
"20776",20776,"Good Burger",1997,103,9000000,4,1714,0,0,1,0,0,0,0
"20789",20789,"Good Girl, The",2002,93,5000000,6.9,8254,0,0,1,1,0,0,0
"20809",20809,"Good Morning, Vietnam",1987,119,13000000,7.1,13823,0,0,1,1,0,0,0
"20835",20835,"Good Will Hunting",1997,126,10000000,7.8,60858,0,0,0,1,0,0,0
"20873",20873,"Goodfellas",1990,145,25000000,8.6,68219,0,0,0,1,0,0,0
"20893",20893,"Goonies, The",1985,114,19000000,7.2,18895,0,0,1,0,0,0,0
"20939",20939,"Gosford Park",2001,137,15000000,7.3,16831,0,0,0,1,0,0,0
"20961",20961,"Gothika",2003,98,40000000,5.8,10524,0,0,0,0,0,0,0
"20986",20986,"Graduate, The",1967,105,3000000,8.2,27555,0,0,1,1,0,1,0
"21019",21019,"Grand Hotel",1932,112,700000,7.5,1807,0,0,0,1,0,1,0
"21123",21123,"Graveyard Shift",1990,89,10500000,3.8,1074,0,0,0,0,0,0,0
"21136",21136,"Grease",1978,110,6000000,6.8,22214,0,0,1,0,0,1,0
"21167",21167,"Great Dictator, The",1940,124,2000000,8.4,10465,0,0,1,0,0,0,0
"21169",21169,"Great Escape, The",1963,172,4000000,8.3,20075,1,0,0,1,0,0,0
"21179",21179,"Great Gatsby, The",1974,144,6500000,6.1,2419,0,0,0,1,0,1,0
"21218",21218,"Great Race, The",1965,160,12000000,6.9,2248,1,0,1,0,0,0,0
"21245",21245,"Greatest Show on Earth, The",1952,152,4000000,6.7,1361,0,0,0,1,0,1,0
"21246",21246,"Greatest Story Ever Told, The",1965,225,20000000,6,1097,0,0,0,1,0,0,0
"21259",21259,"Green Berets, The",1968,141,7000000,4.9,1851,1,0,0,1,0,0,0
"21285",21285,"Green Mile, The",1999,188,60000000,8.1,60142,0,0,0,1,0,0,0
"21313",21313,"Gremlins",1984,106,11000000,6.8,15044,1,0,1,0,0,0,0
"21314",21314,"Gremlins 2: The New Batch",1990,106,50000000,5.9,7780,0,0,1,0,0,0,0
